id;kode_kawasan;Kode Provinsi;Lokasi Prioritas
1;11-001;11;Kawasan Perkotaan Banda Aceh-Jantho
2;11-002;11;Kawasan Perkotaan Lhokseumawe dan Kawasan Pengembangan Industri Arun-Lhokseumawe
3;11-003;11;Kawasan Perkotaan Takengon dan Kawasan Pariwisata & Ekonomi Kreatif Unggulan DT Gayo-Danau Laut Tawar
4;11-004;11;Kawasan Perkotaan Meulaboh
5;11-005;11;Kawasan Perkotaan Langsa
6;11-006;11;Kawasan Perkotaan Subulussalam
7;11-007;11;KPBPB Sabang
8;11-008;11;DT Gayo
9;11-009;11;Pesisir Timur Laut Aceh
10;11-010;11;Pesisir Barat-Selatan Aceh
11;11-011;11;Pesisir Utara Aceh
12;11-012;11;Pesisir Barat Aceh
13;11-013;11;Simeulue
14;11-014;11;TN Gunung Leuser
15;12-001;12;Wilayah Metropolitan Medan dan Kawasan Pengembangan Industri Medan-Binjai-Deli-Serdang
16;12-002;12;Kawasan Pengembangan Industri Kualatanjung-Seimangkei
17;12-003;12;Kawasan Pariwisata dan Ekonomi Kreatif Unggulan Danau Toba (termasuk Kawsan Perkotaan Balige)
18;12-004;12;Kawasan Perkotaan Sibolga-Pandan-Padangsidimpuan
19;12-005;12;Kawasan Perkotaan Rantauprapat
20;12-006;12;Kawasan Perkotaan Kabanjahe
21;12-007;12;Kawasan Perkotaan Gunungsitoli
22;12-008;12;Asahan-Labuhanbatu-Padanglawas
23;12-009;12;Asahan-Tanjungbalai
24;12-010;12;Nias Utara
25;12-011;12;Sumatera Timur
26;12-012;12;Bukit Barisan Utara
27;12-013;12;Batang Angkola-Batang Gadis
28;12-014;12;Kep. Nias
29;12-015;12;TN Batang Gadis
30;13-001;13;Kawasan Perkotaan Padang-Pariaman
31;13-002;13;Kawasan Pariwisata dan Ekonomi Kreatif Unggulan Dataran Tinggi Minangkabau (termasuk Kawasan Perkotaan Bukittinggi-Padangpanjang dan Solok-Sawahlunto)
32;13-003;13;Pasaman Barat
33;13-004;13;Dataran Tinggi Minangkabau
34;13-005;13;Minangkabau Pesisir
35;13-006;13;Kep. Mentawai
36;13-007;13;TN Kerinci-Seblat
37;14-001;14;Kawasan Perkotaan Pekanbaru
38;14-002;14;Kawasan Perkotaan Dumai & Kawasan Pengembangan Industri Dumai
39;14-003;14;Kawasan Perkotaan Rengat
40;14-004;14;Rokan-Siak-Kampar-Indragiri
41;14-005;14;Rokan Hilir
42;14-006;14;Indragiri Hilir
43;14-007;14;Riau
44;14-008;14;Indragiri
45;14-009;14;Kepulauan Meranti-Bengkalis
